,storeID,regionID,name,name_tracking,site_code,description,openTime,closeTime,latitude,longtitude,image,address,phoneNumber,activities,services,hotline,scanCard,statusSaleOnline,messageOffSaleOnline,shippingConditionShort,shippingConditionLong,freeshipTotalAmount,freeshipDistance,deliveryLimited
16,20,1,Big C VINH,Big C VINH,112,,08:00,22:00,18.66643,105.67437,https://dev-mobileapp.bigc.vn/files/images/store2/big-c-vinh.jpg,"Số 2, Đường Quang Trung, TP. Vinh, Tỉnh Nghệ An",19001880,,,,0,1,,,"1. GO! &amp; Big C MIỄN PH&Iacute; VẬN CHUYỂN đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển trong b&aacute;n k&iacute;nh 10 km.<br />
<br />
2. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển tr&ecirc;n 10 km, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km vượt qu&aacute; 10km nh&acirc;n với 5000đ.<br />
<br />
3. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị dưới 300.000đ, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km nh&acirc;n với 5000đ.",300000,10000,20000
17,21,7,GO! AN LẠC,GO! AN LAC,102,,08:00,22:00,10.7305782,106.6042399,https://dev-mobileapp.bigc.vn/files/stores/stores-banners/stores-banners-2020/anlac-new.jpg,"1231 Quốc lộ 1A, Khu Phố 5, Phường Bình Trị Đông B, Quận Bình Tân, TP. Hồ Chí Minh ( Gần Vòng Xoay An Lạc)",19001880,,,,0,1,,Miễn phí giao hàng trong bán kính 7km,"1. GO! &amp; Big C MIỄN PH&Iacute; VẬN CHUYỂN đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển trong b&aacute;n k&iacute;nh 7 km.<br />
<br />
2. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển tr&ecirc;n 7 km, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km vượt qu&aacute; 7km nh&acirc;n với 5000đ.<br />
<br />
3. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị dưới 300.000đ, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km nh&acirc;n với 5000đ.",300000,7000,20000
18,24,7,GO! GÒ VẤP,GO! GO VAP,108,,08:00,22:00,10.82572,106.67973,https://dev-mobileapp.bigc.vn/files/images/store/big-c-go-vap.jpg,"792 Nguyễn Kiệm, Phường 3, Quận Gò Vấp, TP. Hồ Chí Minh( Ngã sáu Gò Vấp)",19001880,,,,0,1,,Miễn phí giao hàng trong bán kính 7km,"1. GO! &amp; Big C MIỄN PH&Iacute; VẬN CHUYỂN đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển trong b&aacute;n k&iacute;nh 7 km.<br />
<br />
2. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển tr&ecirc;n 7 km, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km vượt qu&aacute; 7km nh&acirc;n với 5000đ.<br />
<br />
3. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị dưới 300.000đ, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km nh&acirc;n với 5000đ.",300000,7000,20000
19,25,7,Big C MIỀN ĐÔNG,Big C MIEN DONG,103,,08:00,22:00,10.77851,106.665584,https://dev-mobileapp.bigc.vn/files/images/store2/big-c-mien-dong.jpg,"268 Tô Hiến Thành, Phường 15, Quận 10, TP. Hồ Chí Minh ( Ngã ba Tô Hiến Thành - Sư Vạn Hạnh)",19001880,,,,0,1,,Miễn phí giao hàng trong bán kính 7km,"1. GO! &amp; Big C MIỄN PH&Iacute; VẬN CHUYỂN đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển trong b&aacute;n k&iacute;nh 7 km.<br />
<br />
2. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đđ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển tr&ecirc;n 7 km, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km vượt qu&aacute; 7km nh&acirc;n với 5.000đ.<br />
<br />
3. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị dưới 300.000đ, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km nh&acirc;n với 5.000đ.",300000,7000,20000
20,26,7,GO! NGUYỄN THỊ THẬP,GO! NGUYEN THI THAP,133,,08:00,22:00,10.737122,106.725215,https://dev-mobileapp.bigc.vn/files/images/store/big-c-nguyen-thi-thap.jpg,"Lô A, Khu Dân Cư Cityland, 99  Nguyễn Thị Thập, Phường Tân Phú, Quận 7, TP. Hồ Chí Minh",19001880,,,,0,1,,Miễn phí giao hàng trong bán kính 7km,"1. GO! &amp; Big C MIỄN PH&Iacute; VẬN CHUYỂN đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển trong b&aacute;n k&iacute;nh 7 km.<br />
<br />
2. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển tr&ecirc;n 7 km, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km vượt qu&aacute; 7km nh&acirc;n với 5000đ.<br />
<br />
3. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị dưới 300.000đ, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km nh&acirc;n với 5000đ.",300000,7000,20000
21,27,7,GO! PHÚ THẠNH,GO! PHU THANH,111,,08:00,22:00,10.78072,106.63163,https://dev-mobileapp.bigc.vn/files/stores/go-ph-th-nh.png,"212 Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, TP. Hồ Chí Minh",19001880,,,,0,1,,Miễn phí giao hàng trong bán kính 7km,"1. GO! &amp; Big C MIỄN PH&Iacute; VẬN CHUYỂN đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển trong b&aacute;n k&iacute;nh 7 km.<br />
<br />
2. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển tr&ecirc;n 7 km, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km vượt qu&aacute; 7km nh&acirc;n với 5000đ.<br />
<br />
3. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị dưới 300.000đ, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km nh&acirc;n với 5000đ.",300000,7000,20000
22,29,7,Big C TRƯỜNG CHINH,Big C TRUONG CHINH,122,,08:00,22:00,10.80687,106.63468,https://dev-mobileapp.bigc.vn/files/stores/stores-banners/stores-banners-2020/truongchinh-new.jpg,"1/1 Trường Chinh, Phường Tây Thạnh, Quận Tân Phú, TP. Hồ Chí Minh",19001880,,,,0,1,,Miễn phí giao hàng trong bán kính 7km,"1. GO! &amp; Big C MIỄN PH&Iacute; VẬN CHUYỂN đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển trong b&aacute;n k&iacute;nh 7 km.<br />
<br />
2. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển tr&ecirc;n 7 km, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km vượt qu&aacute; 7km nh&acirc;n với 5000đ.<br />
<br />
3. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị dưới 300.000đ, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km nh&acirc;n với 5000đ.",300000,7000,20000
23,30,5,Big C BÌNH DƯƠNG,Big C BINH DUONG,121,,08:00,22:00,10.98727,106.66435,https://dev-mobileapp.bigc.vn/files/images/store/big-c-bi-nh-du-o-ng.jpg,"Phường Hiệp Thành, TP. Thủ Dầu Một, Tỉnh Bình Dương",19001880,,,,0,1,,,"1. GO! &amp; Big C MIỄN PH&Iacute; VẬN CHUYỂN đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển trong b&aacute;n k&iacute;nh 10 km.<br />
<br />
2. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển tr&ecirc;n 10 km, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km vượt qu&aacute; 10km nh&acirc;n với 5000đ.<br />
<br />
3. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị dưới 300.000đ, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km nh&acirc;n với 5000đ.",300000,10000,20000
24,31,5,GO! CẦN THƠ,GO! CAN THO,120,,08:00,22:00,10.01391,105.78459,https://dev-mobileapp.bigc.vn/files/stores/go-can-tho.png,"Lô số 1, Khu Dân Cư Hưng Phú 1, Phường Hưng Phú, Quận Cái Răng, TP. Cần Thơ",19001880,,,,0,1,,,"1. GO! &amp; Big C MIỄN PH&Iacute; VẬN CHUYỂN đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển trong b&aacute;n k&iacute;nh 10 km.<br />
<br />
2. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển tr&ecirc;n 10 km, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km vượt qu&aacute; 10km nh&acirc;n với 5000đ.<br />
<br />
3. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị dưới 300.000đ, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km nh&acirc;n với 5000đ.",300000,10000,20000
25,32,2,GO! ĐÀ LẠT,GO! DA LAT,126,,07:30,22:00,11.93861,108.44421,https://dev-mobileapp.bigc.vn/files/images/store/go-dalat-2.png,"Quảng trường trung tâm Đà Lạt, Đường Trần Quốc Toản, Phường 1, Thành Phố Đà Lạt",19001880,,,,0,1,,,"1. GO! &amp; Big C MIỄN PH&Iacute; VẬN CHUYỂN đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển trong b&aacute;n k&iacute;nh 10 km.<br />
<br />
2. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển tr&ecirc;n 10 km, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km vượt qu&aacute; 10km nh&acirc;n với 5000đ.<br />
<br />
3. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị dưới 300.000đ, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km nh&acirc;n với 5000đ.",300000,10000,20000
26,33,5,GO! DĨ AN,GO! DĨ AN,123,,08:00,22:00,10.88946,106.77643,https://dev-mobileapp.bigc.vn/files/store/go-dian.jpg,"Phường Đông Hòa, Thị Xã Dĩ An, Tỉnh Bình Dương",19001880,,,,0,1,,,"1. GO! &amp; Big C MIỄN PH&Iacute; VẬN CHUYỂN đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển trong b&aacute;n k&iacute;nh 10 km.<br />
<br />
2. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển tr&ecirc;n 10 km, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km vượt qu&aacute; 10km nh&acirc;n với 5000đ.<br />
<br />
3. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị dưới 300.000đ, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km nh&acirc;n với 5000đ.",300000,10000,20000
27,34,5,Big C ĐỒNG NAI,Big C DONG NAI,101,,08:00,22:00,10.9055,106.85061,https://dev-mobileapp.bigc.vn/files/images/store/big-c-dong-nai-1.jpg,"Số 833, Xa lộ Hà Nội, Phường Long Bình Tân, Thành Phố Biên Hòa, Tỉnh Đồng Nai ( Ngã 4 Vũng Tàu)",19001880,,,,0,1,,,"1. GO! &amp; Big C MIỄN PH&Iacute; VẬN CHUYỂN đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển trong b&aacute;n k&iacute;nh 10 km.<br />
<br />
2. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị từ 300.000đ trở l&ecirc;n v&agrave; khoảng c&aacute;ch vận chuyển tr&ecirc;n 10 km, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km vượt qu&aacute; 10km nh&acirc;n với 5000đ.<br />
<br />
3. Đối với c&aacute;c đơn h&agrave;ng c&oacute; gi&aacute; trị dưới 300.000đ, ph&iacute; giao h&agrave;ng sẽ được t&iacute;nh bằng c&aacute;ch lấy số km nh&acirc;n với 5000đ.",300000,10000,20000
