,id,sort,category_id,name,thumbnail,price,barcode,description,full_description,description_data,description_url,promotion_price,message_product,product_sponsor,message_id,hour_delivery,dynamic_link,detail_note,short_detail_note,frame
0,7920,3400,18,Dầu Gội Đầu Sunsilk Bồ Kết Cho Tóc Khô Óng Mượt 900G - 13652,https://cdn.go-vietnam.vn/thumb/240x240/sale-products/00265150-1.png?v=9,132900,8934868113652,,,False,http://dev-mobileapp.bigc.vn/index/order-product-detail.html?id=7920,163800.0,,False,0.0,0,https://appbigc.page.link/QFdETdNS2kvXpcAG9, , ,
1,420191,3401,18,Dầu Gội Sunsilk Mềm Mượt Diệu Kỳ Cho Tóc Khô Xơ 900G - 92056,https://cdn.go-vietnam.vn/thumb/240x240/sale-products/00224897-0.png?v=9,132900,8934868092056,,,False,http://dev-mobileapp.bigc.vn/index/order-product-detail.html?id=420191,163800.0,,False,0.0,0,https://appbigc.page.link/iqvtEEGUSLkYsnvc6, , ,
2,7589,3402,18,Dầu gội Sunsilk mềm mượt diệu kỳ 1.4kg - 13720,https://cdn.go-vietnam.vn/thumb/240x240/sale-products/00401036-1.png?v=9,250200,8934868113720,,,False,http://dev-mobileapp.bigc.vn/index/order-product-detail.html?id=7589,,,False,0.0,0,https://appbigc.page.link/CZEqykLST525dkUY8,,,
3,7859,3403,18,Dầu gội Sunsilk óng mượt rạng ngời 1.4kg - 19722,https://cdn.go-vietnam.vn/thumb/240x240/sale-products/00430631-1.png?v=9,250200,8934868119722,,,False,http://dev-mobileapp.bigc.vn/index/order-product-detail.html?id=7859,,,False,0.0,0,https://appbigc.page.link/qBuGeR9G35hrDkVb7,,,
4,7918,3404,18,Dầu gội Enchanteur nồng nàn quyến rũ 650g - 00068,https://cdn.go-vietnam.vn/thumb/240x240/sale-products/00035575-0.png?v=9,161000,8935212800068,,,False,http://dev-mobileapp.bigc.vn/index/order-product-detail.html?id=7918,,,False,,0,https://appbigc.page.link/vzekEeUwyEDiTpTv9, , ,
5,7565,3405,18,Dầu gội Sunsilk óng mượt rạng ngời 650g - 13638,https://cdn.go-vietnam.vn/thumb/240x240/sale-products/00063193-0.png?v=9,125000,8934868113638,,,False,http://dev-mobileapp.bigc.vn/index/order-product-detail.html?id=7565,,,False,0.0,0,https://appbigc.page.link/dzinevBk639YotTX6, , ,
6,7855,3407,18,Dầu Gội Sunsilk Mềm Mượt Diệu Kỳ Cho Tóc Khô Xơ 650G - 13553,https://cdn.go-vietnam.vn/thumb/240x240/sale-products/00063201-0.png?v=9,125000,8934868113553,,,False,http://dev-mobileapp.bigc.vn/index/order-product-detail.html?id=7855,,,False,0.0,0,https://appbigc.page.link/k1mevXfE1m7KQVFz9, , ,
7,278163,3408,18,Dầu gội Rejoice 3in1 900g - 17072,https://cdn.go-vietnam.vn/thumb/240x240/sale-products/00754377-1.png?v=9,181300,4902430517072,,,False,http://dev-mobileapp.bigc.vn/index/order-product-detail.html?id=278163,,,False,0.0,0,https://appbigc.page.link/oh8HwgdJRxaGnLTf6, , ,
8,209901,3409,18,Dầu gội Oliv dưỡng tóc chắc khỏe 650ml - 72176,https://cdn.go-vietnam.vn/thumb/240x240/sale-products/00574333-1.png?v=9,173000,8936065072176,,,False,http://dev-mobileapp.bigc.vn/index/order-product-detail.html?id=209901,,,False,0.0,0,https://appbigc.page.link/XHJd3iWbC7UZ4cjE8, , ,
9,7985,3411,18,Dầu gội Enchanteur Sensation 650g - 05162,https://cdn.go-vietnam.vn/thumb/240x240/sale-products/00371446-1.png?v=9,161000,8935212805162,,,False,http://dev-mobileapp.bigc.vn/index/order-product-detail.html?id=7985,,,False,,0,https://appbigc.page.link/uCR7u1WgivJTPMKh8, , ,
